interstate,start_measure_m,end_measure_m,gap_length_m,gap_length_mi,is_food_desert,segment_type
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,0.0,0.0,0.0,False,Served Segment
I-10,0.0,47.13360814231836,47.13360814231836,0.02928746628583967,False,Served Segment
I-10,47.13360814231836,52.01276733432022,4.879159192001865,0.0030317689642499457,False,Served Segment
I-10,52.01276733432022,132.47917587917473,80.46640854485452,0.049999508212572645,False,Served Segment
I-10,132.47917587917473,136.6851376952179,4.205961816043157,0.002613463508139439,False,Served Segment
I-10,136.6851376952179,137.8409735910097,1.1558358957918244,0.0007182031285988728,False,Served Segment
I-10,137.8409735910097,146.80051594330283,8.959542352293113,0.005567201513345259,False,Served Segment
I-10,146.80051594330283,152.10791341279565,5.307397469492827,0.003297863893296167,False,Served Segment
I-10,152.10791341279565,153.23788206624124,1.1299686534455873,0.0007021299693822994,False,Served Segment
I-10,153.23788206624124,161.65039404331148,8.412511977070238,0.005227292596902985,False,Served Segment
I-10,161.65039404331148,167.21879370331953,5.568399660008055,0.00346004313559317,False,Served Segment
I-10,167.21879370331953,169.6756909588393,2.4568972555197774,0.0015266451768669578,False,Served Segment
I-10,169.6756909588393,178.2087216777222,8.533030718882884,0.005302179471190052,False,Served Segment
I-10,178.2087216777222,182.64744909321,4.4387274154878185,0.0027580973461782056,False,Served Segment
I-10,182.64744909321,186.68505328723452,4.03760419402451,0.00250885093182347,False,Served Segment
I-10,186.68505328723452,194.4601357943117,7.7750825070771725,0.004831212287166182,False,Served Segment
I-10,194.4601357943117,194.8621011869811,0.40196539266941045,0.00024976971528113966,False,Served Segment
I-10,194.8621011869811,241.68796752924743,46.82586634226632,0.029096244396640072,False,Served Segment
I-10,241.68796752924743,254.64153615480572,12.95356862555829,0.008048974380591278,False,Served Segment
I-10,254.64153615480572,267.2021965898827,12.560660435076983,0.007804832549832094,False,Served Segment
I-10,267.2021965898827,273.22819770116,6.02600111127731,0.0037443834949378815,False,Served Segment
I-10,273.22819770116,274.55242849977225,1.3242307986122341,0.0008228388701310808,False,Served Segment
I-10,274.55242849977225,276.4434298780171,1.89100137824488,0.0011750137809224627,False,Served Segment
I-10,276.4434298780171,292.5867013299858,16.143271451968644,0.010030963828720674,False,Served Segment
I-10,292.5867013299858,296.6280184669521,4.041317136966313,0.002511158047605927,False,Served Segment
I-10,296.6280184669521,304.2576686260861,7.62965015913403,0.004740844815734877,False,Served Segment
I-10,304.2576686260861,308.5105476492525,4.252879023166372,0.0026426165090660367,False,Served Segment
