interstate,total_gap_segments,max_gap_mi,mean_gap_mi,food_desert_segments
I-10,4508,372.3995791077351,0.3084782310399641,6
I-20,3074,488.56807544202366,0.6383140315137705,7
I-30,2168,189.3579577123229,0.2227430837828228,2
I-40,3102,392.20660065058917,0.5766270244692898,9
I-70,2575,292.668418068753,0.4489025543543622,5
I-80,3391,411.9038697071302,0.42400526494641033,6
I-90,7893,317.193464252986,0.335965594845902,10
